#BV	BVerr	V	Verr
0.8610 0.0510 20.3240 0.0110
0.7730 0.0360 19.7570 0.0090
0.7940 0.0310 19.6220 0.0080
0.7660 0.0300 19.3210 0.0110
0.7010 0.0150 18.5980 0.0060
0.8300 0.0320 19.6720 0.0090
0.7810 0.0160 18.9330 0.0070
0.7660 0.0350 19.8750 0.0120
0.7120 0.0100 18.3120 0.0060
0.7140 0.0170 18.9780 0.0060
0.8380 0.0350 19.7780 0.0100
0.8050 0.0460 20.2540 0.0100
0.7100 0.0280 19.5400 0.0080
0.7840 0.0220 19.3180 0.0070
0.8730 0.0340 19.9480 0.0100
0.6880 0.0130 18.4000 0.0100
0.7010 0.0170 19.0010 0.0120
0.7950 0.0240 19.4160 0.0100
0.7150 0.0260 18.7970 0.0120
0.6610 0.0170 18.7350 0.0080
0.6800 0.0160 18.5760 0.0090
0.7060 0.0130 18.8010 0.0080
0.7890 0.0220 19.2030 0.0130
0.7650 0.0370 19.1310 0.0090
0.6940 0.0180 18.8200 0.0090
0.6680 0.0140 18.7090 0.0120
0.6300 0.0150 18.5750 0.0100
0.7430 0.0260 19.1770 0.0110
0.7020 0.0160 18.8700 0.0080
0.6920 0.0120 18.8930 0.0110
0.6760 0.0080 18.0790 0.0070
0.8780 0.0680 20.4010 0.0190
0.6180 0.0150 18.5300 0.0110
0.7520 0.0310 19.6970 0.0090
0.6710 0.0320 18.6290 0.0060
0.8010 0.0340 19.6820 0.0100
0.6810 0.0200 19.1840 0.0080
0.8000 0.0290 19.8800 0.0120
0.7900 0.0360 19.8850 0.0100
0.7660 0.0240 19.4340 0.0080
0.8050 0.0230 19.5500 0.0110
0.8710 0.0610 20.1650 0.0180
0.7490 0.0380 19.6020 0.0090
0.6980 0.0190 19.1590 0.0070
0.6980 0.0090 18.1340 0.0070
0.7180 0.0380 19.8300 0.0110
0.8600 0.0250 19.2350 0.0100
0.7510 0.0240 19.2130 0.0120
0.7200 0.0100 18.1460 0.0060
0.6960 0.0160 18.1230 0.0180
0.6560 0.0100 18.2190 0.0090
0.7430 0.0130 18.8120 0.0090
0.7920 0.0440 19.9170 0.0130
0.7230 0.0140 18.5710 0.0190
0.8040 0.0330 19.5260 0.0140
0.6510 0.0140 18.3560 0.0140
0.6280 0.0100 18.3270 0.0130
0.6890 0.0100 18.1390 0.0130
0.6880 0.0130 18.5160 0.0090
0.6340 0.0140 18.6620 0.0070
0.7000 0.0170 19.1620 0.0100
0.8960 0.0480 20.0910 0.0140
0.6730 0.0180 18.9430 0.0110
0.8950 0.0460 20.3390 0.0110
0.7240 0.0160 18.9810 0.0070
0.7800 0.0240 19.3880 0.0120
0.9080 0.0560 20.2990 0.0140
0.8180 0.0510 20.2820 0.0120
0.6960 0.0110 18.6140 0.0060
0.7120 0.0420 19.4970 0.0070
0.7550 0.0320 19.6850 0.0080
0.7380 0.0160 19.0140 0.0120
0.7930 0.0260 19.4530 0.0080
0.7420 0.0270 19.6700 0.0090
0.7580 0.0300 19.7590 0.0100
0.7960 0.0350 19.9640 0.0090
0.7570 0.0260 19.3920 0.0080
0.7330 0.0110 18.3770 0.0150
0.7890 0.0270 19.4940 0.0160
0.9270 0.0730 20.5970 0.0120
0.6380 0.0100 18.4870 0.0060
